Train_Size,RMSE_UP,RMSE_AVG,RMSE_median,RMSE_OP
28,13.2599148060704,32.37770028195653,32.02050636329607,63.16727321234121
30,17.141796913816925,33.62829202888427,40.16569347046882,53.79838746210969
37,10.884149002989204,30.014075141238308,29.82727740046505,60.83120384877509
49,12.555755679420106,30.923929579714965,33.2748028466454,56.79475780011983
50,38.471532083748485,48.257284152534744,53.144584363834774,59.99514101135647
51,11.126069564328152,29.40399844382188,33.460572352684316,57.83525689180296
54,24.402299365162115,36.89623820964157,46.88924757653246,49.337509455747984
61,12.727695890155871,30.60139566381169,38.65100902281196,35.000721306147454
63,18.9660061306451,25.811476478136345,31.956179127347124,44.15857891544189
67,8.481051710301067,16.477551504119745,20.26457990116488,40.73729280351534
73,16.944187061171235,26.91806208449018,35.07922193124921,44.68885339314677
81,15.098075757986184,25.797879035571402,27.801253961388877,53.45724011221778
83,6.664580917563769,11.738530554596604,12.066630761231128,63.49224497327489
